@relation docs

@attribute search string
@attribute inlink string
@attribute top_tag string
@attribute class string


@data
"shop com save cleburn counselor cover retreat mysteri texa cemeteri bank spa shelli cheat lesson think california son candl kiva provid emotion sign peopl hypnot russian supervisor leagu hot gel littl castl counti god behavior abus cone date activ build spring gymnast invent drill resort sand privat rich coach booklock hous groceri verbal school plan outer retriev book investig johnson chang river ","com bust dana bangor writing raquo clickz beyond jim author inc bookstor maine onlin locker booklock angela market hoi book boom ","shop store book publish ebook ",1000002
"raid ware base hardwar ","stori raid control com store news onlin inc ware safari book http// ","raid sata tool hardwar storag linux ",18116014
"sub free host name domain mask cheap low cost url ","forum host directori musik www you download url situ free indonesia name domain account redirect ","host tool blog url dominio free resourc forward domain html import redirect internet design ",18061014
"sex interraci teen candi retro pinup blog vintag boob galleri porn girdl sampl ","vintag sex post porn link retro blog ","blog ",1000002
"com diet cartoon pussi perscript gui mankind psi fuck movi nonnud freewar teen comic onlin job tri sale peopl pictur porn treasur dan fast zanex littl virtual tournament sex lovers lolita tracer japanes mri ass iri island bangbro pill girl telephon tell blow mini hawaii ball poker erect pic game moham photo cheater nymph paradis blue mechan casino bui ","skyscap awasu creat mechan flem pic googl ming main ","peopl new futur social philosophi ming blog technolog tech scienc ",18061014
"recov upgrad requir toi motorcross perform freestyl computor ","site new hardwar vbulletin daili review ","new import hardwar ",18116014
"free traffic link build ","com host directori hosting ssl free php busi asp cheap mysql ","host import ",18061014
"free program download access microsoft ","softwar site cimawar data visit excel access damag homepag releas page offic file repair corpor recoveri ","softwar tool excel recoveri microsoft ",18156014
"rington chatroom com password hack card slow yahoo banner music crack list prom script tiffani url jpg email dress buddi load disappear ","forum com program discuss talk ","forum refer program php commun develop code script ",191461614
"fame balanc hall collabor scorecard ","site balanc understand com squidootrade scorecard website meter collabor inc organ capac initi ","balanc scorecard manag tool link perform market collabor refer strategi consult ",18156014
"org ","elearn client directori reason manag learn enter overdu access center system inc search term below syberworks care train introduct lemieux syberwork ","softwar elearn learn ",18156014
"not port dash mick haw chang dashboard board psp main ","fellowship com opendocu ","virtual host isp access linux sysadmin uml dedic busi comput hardwar server cheap debian ",18061014
"softwar excel ","com link tool engin desktop visit mac macosx software homepag page analysi softwar site osx inicio standard excel code design toda ","softwar model program tool safariexport mac import develop util design ",211561814
