@relation docs

@attribute top_tag string
@attribute inlink string
@attribute class string


@data
"site sobre phd national fundacion visit investigacion org research nacional para foundation cancer org/ ","charities cancer ",621000
"cbs abc post trips news dream sports cincinnati teams resume ohio page nightmare local channel ","ohio news cincinnati ",400000
"site squidootrade rennlist main ","forums forum cars porsche ",1051780
"austin rainbird lawn mark bull landscape corporation distribution irrigation magazine bird viking sales com/ products rain ","sprinklers landscaping gardening house blog garden imported irrigation ",805301
"sites bulldog listing quality fishyfishing fishy fishing related ","fishing ",1051780
"information ethanol useful links india ","india ",703200
"games board discount ","games boardgames shopping ",800520
"systems bankspower department action gale power click com/ engineering gail science banks ","truck race ",805301
"johnny asbury southside ","music band ",400000
"athletes kilts schedule kilt children sport ","kilts kilt clothing shopping ",800520
"news directory food medicinal ","food health ",621000
"trader landcruiser ","personal cars toyota landcruiser ",1051780
"cool stories diamonds diamond com/ ","diamonds ",800520
"nocturnus sito oakland neurosis punk com/ ufficiale ","music bands band ",400000
"decor payless vertical shades horizontal blinds roman shutters discount treatments searchingdeep ","blinds shopping ",800520
"","horror ",400000
"libraries grace grief share support church directory bible irving org griefshare recovery ","grief support ",621000
"guide galleries california art city southern stuff museums performance comprehensive listing los scene cal angeles ","guide galleries arts gallery california events art losangeles museum magazine artists museums los painting ",400000
"gallery oxford com/ ","rochester ",400000
"magazine skate concussion org ","skateboarding surfing sports ",600020
"christian engine search news service links ","magazine prophecy christian christianity news bible info ",704310
"page gotta armageddon homepage org/ online main ","forum news anxiety death futurism health research astronomy reference entertainment imported science disaster paranoia nuclear nature apocalypse future armageddon bible natural ",704310
"metro job com/ ","magazine news gay lgbt newspaper ",704310
"locator inmate department correction doc colorado corrections ","doc colorado ",704310
"illinois police news ipsn sheriffs ","history mob crime chicago ",704310
"items promotional ","promotional ",805301
"kim change house party harsh middle race sadie sent help dark november achieving immigrants death majority jerry elite class lake homepage toll adams conditions soldiers corporate rising permanent prize hope nsa addams nobel america mortgages apartments giuliani upper american sarah slot hard slaughter vision illegal hell iraq section scarborough democrats calpernia school comfort libby peace jong service special elementary bent ","trans ",704310
"site intute official lady visit house althorp ","diana ",400000
"total vanguard brokerage college josh org homepage bond eller market stock mutual funds page ","financial information investments accounts vanguard roth investment imported invest retirement personal mutual funds ira money banking bank finance bitw finances fund investing bills ",805301
"experts page northwest org coalition energy ","sustainability northwest energy ",704310
"rascals reef america com/ corporation nichia online ","hardware lighting led light energy electronics ",805301
"chocolove page food soul ","chocolate food shopping ",800520
