@relation docs

@attribute top_tag string
@attribute class string


@data
"chariti cancer ",621000
"ohio cincinnati ",400000
"car forum porsch ",1051780
"landscap sprinkler irrig import hous blog garden ",805301
"fish ",1051780
"india ",703200
"shop game boardgam ",800520
"truck race ",805301
"music band ",400000
"shop kilt cloth ",800520
"food health ",621000
"car person landcruis toyota ",1051780
"diamond ",800520
"music band ",400000
"shop blind ",800520
"horror ",400000
"grief support ",621000
"guid galleri event california art paint museum magazin artist losangel ",400000
"rochest ",400000
"sport surf skateboard ",600020
"propheci christian bibl magazin info ",704310
"forum futur death natur anxieti entertain health research paranoia apocalyps bibl nuclear refer armageddon import disast scienc astronomi ",704310
"newspap gai magazin lgbt ",704310
"doc colorado ",704310
"histori mob crime chicago ",704310
"promot ",805301
"tran ",704310
"diana ",400000
"person vanguard retir roth monei inform invest financ mutual ira account bank import bitw fund financi ",805301
"energi sustain northwest ",704310
"energi led electron hardwar light ",805301
"shop food chocol ",800520
"directori link photo photographi ",400000
"shop store book publish ebook ",800520
"pharmaci pharma organ portal career ",621000
"search refer medicin healthcar health medic drug ",621000
"breweri beer ",1051780
"satellit ",800520
"kiln potteri ",805301
"music tutori lesson bass jazz masica musician guitar artist ",400000
"safeti ",800520
"raid sata tool comput hardwar storag linux ",906014
"financ union credit ",805301
"shop fish ",800520
"seattl ",1051780
"health ",704310
"organ milk food chees california delici ",805301
"tobacco smoke review pipe ",1051780
"music ",400000
"religion jehova bibl jehovah import misc ",704310
"jeep ",805301
"host tool blog url free resourc forward domain html import redirect internet design ",906014
"fly fear ",1051780
"food nutrit health ",1051780
"blog ",704310
"music prayer christian faith onlin tool book cathol blog theologi internet ",704310
"anthropolog map ",704310
"peopl futur social philosophi ming blog technolog tech scienc ",906014
"london reconstruct econom job europ bank polit develop research ",805301
"shop costum bellyd ",800520
"entertain blog ",704310
"educ teacher technolog ",906014
"beef ",800520
"religion quran koran islam refer download freewar ",704310
"music audio gadget hardwar linux media ",800520
"latvia ",703200
"nokia nseri mobil ",1051780
"music ",400000
"tool dii ",805301
"cool plant photograph art portfolio natur imag photo creativ xrai inspir foto scienc flower photographi ",400000
"comput import hardwar ",906014
"squash ",800520
"peakoil govern conspiraci polit blog ",704310
"music ",400000
"turf ",805301
