@relation docs

@attribute top_tag string
@attribute inlink string
@attribute class string


@data
"site nacion phd fundacion visit investigacion org foundat research nation para cancer sobr org/ ","chariti cancer ",621000
"abc post dream nightmar sport cincinnati team resum ohio page local trip channel ","ohio cincinnati ",400000
"site rennlist squidootrad main ","car forum porsch ",1051780
"austin landscap rainbird lawn irrig distribut mark bull vike sale bird product magazin corpor com/ rain ","landscap sprinkler irrig import hous blog garden ",805301
"site bulldog fish relat qualiti fishi onli list fishyfish ","fish ",1051780
"inform ethanol link india ","india ",703200
"game board discount ","shop game boardgam ",800520
"depart engin gale click gail bankspow action comput power bank becaus com/ scienc ","truck race ",805301
"asburi southsid johnni juke ","music band ",400000
"kilt children schedul sport athlet ","shop kilt cloth ",800520
"directori food medicin ","food health ",621000
"landcruis trader ","car person landcruis toyota ",1051780
"stori cool diamond com/ ","diamond ",800520
"ufficial neurosi sito oakland nocturnu punk com/ ","music band ",400000
"decor payless vertic treatment shutter horizont shade roman blind discount searchingdeep ","shop blind ",800520
"","horror ",400000
"grace grief bibl share irv support church directori librari griefshar org recoveri ","grief support ",621000
"california art environ list perform museum guid angel southern stuff galleri scene cal comprehens citi ","guid galleri event california art paint museum magazin artist losangel ",400000
"galleri oxford com/ ","rochest ",400000
"concuss skate annoi magazin org ","sport surf skateboard ",600020
"christian search servic link engin ","propheci christian bibl magazin info ",704310
"homepag page onlin gotta armageddon org/ main ","forum futur death natur anxieti entertain health research paranoia apocalyps bibl nuclear refer armageddon import disast scienc astronomi ",704310
"metro job com/ ","newspap gai magazin lgbt ",704310
"locat inmat correct depart doc colorado ","doc colorado ",704310
"illinoi sheriff polic ipsn ","histori mob crime chicago ",704310
"promo item promot ","promot ",805301
"kim servic immigr harsh race novemb sent help homepag becom dark becaus democrat elit mani death class lake apart toll soldier sadi jerri prize corpor parti hope nsa nobel america peac elementari giuliani upper monolith rise american middl sarah slot hard major condit slaughter vision libbi mortgag hell hous iraq illeg section veri achiev scarborough calpernia addam adam school comfort jong special chang bent perman ","tran ",704310
"site intut visit hous offici althorp ladi ","diana ",400000
"total vanguard josh org brokerag thi bond eller market stock mutual homepag page fund colleg viper ","person vanguard retir roth monei inform invest financ mutual ira account bank import bitw fund financi ",805301
"expert energi page northwest org coalit ","energi sustain northwest ",704310
"reef america onlin rascal corpor com/ nichia ","energi led electron hardwar light ",805301
"page food soul chocolov ","shop food chocol ",800520
"directori link construct net photo photographi ","directori link photo photographi ",400000
"bust dana onlin locker bangor booklock raquo clickz angela main jim farri author market hoi bookstor book boom com/ ","shop store book publish ebook ",800520
"email associ american pharmacist com/ friend ","pharmaci pharma organ portal career ",621000
"squar healthsquar health ","search refer medicin healthcar health medic drug ",621000
"govern compani alaska main alaskan bottl inform free brew amber com/ ","breweri beer ",1051780
"directori american com/ satellit ","satellit ",800520
"spec site product page oven ceram com/ ","kiln potteri ",805301
"cheng moor fahrenheit boi silicon echeng yin band jethro jackson token nightclub goran fusion vallei offici drawn jeremiah site yang flat patrick soul youth badli sonic diesel joseph victor eric theori smokestack com/ ivanov victorwooten nose ","music tutori lesson bass jazz masica musician guitar artist ",400000
"product direct page firstaid aid kit ","safeti ",800520
"stori control raid store onlin safari book http// com/ internetnew ","raid sata tool comput hardwar storag linux ",906014
"nih union feder ncua hous administr credit nation gov ","financ union credit ",805301
"statement privaci jig fish qualiti visit com/ kit ","shop fish ",800520
"page pirat seattl contact org/ ","seattl ",1051780
"site inform directori portal articl target visit health targetwoman ","health ",704310
"michel photograph strau tool promis cours cow thai yellow substanc love creativ milk antibiot bra cook mansion famili favorit imagin juicer copyright kitchen meet nation smoke san london updat dont blender food butter dairi execut strauss idea allow var dehydr surpris prohibit evolut creameri culinari merlin innov pressur list hormon shuffl notebook remo book deliv inspir daili steam ","organ milk food chees california delici ",805301
"talbert forum ultim tobacco tobaccoreview blog review pipe ","tobacco smoke review pipe ",1051780
"directori skywatch click visit birthdai knitter button current hunt knit york opera offici border site music film tyler happi subscrib librari phantom visitor borrow amazon thi stai aliv eleg thursdai popular book night pixi citi olymp squidootrad ","music ",400000
"officiel offiziel lui strnka nga onli testimoni jehova der jehovah della org date sociedad site sitio ofici mat bibl sito pgina offici mla ufficial sina strona laman english internet hjemmesid oficiln societi stranica address tract senza ","religion jehova bibl jehovah import misc ",704310
"suspens gorancho rancho accueil ","jeep ",805301
"forum host directori musik download url situ free indonesia domain account redirect ","host tool blog url free resourc forward domain html import redirect internet design ",906014
"fly program onlin conquer travel soar kid fear ","fly fear ",1051780
"conseil intut org council inform suchkategorien european europen sur food ","food nutrit health ",1051780
"fabul onli blog ladi talk ","blog ",704310
"site illinoi check teen return dioces adult youth discipl homepag springfield ministri cathol com/ ","music prayer christian faith onlin tool book cathol blog theologi internet ",704310
"site link incid measur net ","anthropolog map ",704310
"skyscap awasu creat mechan pic googl ming main ","peopl futur social philosophi ming blog technolog tech scienc ",906014
"banco undp latvija programm recon banka euro para nation unit european reconstruct bank develop ","london reconstruct econom job europ bank polit develop research ",805301
"bella costum shop shopp danc sourc belli bellyd ","shop costum bellyd ",800520
"tribun blog globe ","entertain blog ",704310
"","educ teacher technolog ",906014
"mountain america jerki squidootrad ","beef ",800520
"quran search truth onlin ","religion quran koran islam refer download freewar ",704310
"event oliv review ","music audio gadget hardwar linux media ",800520
"latvija data latvia banka financenet statist csb central bureau ","latvia ",703200
"roland nokia trade nseri raquo laquo mann offici consult princip ","nokia nseri mobil ",1051780
"updat favorit add fan ","music ",400000
"lawson ","tool dii ",805301
"site photograph judith art xrai mcmillan photographi ","cool plant photograph art portfolio natur imag photo creativ xrai inspir foto scienc flower photographi ",400000
"site comput hardwar vbulletin com/ daili review ","comput import hardwar ",906014
"equip tenni sport racquet ","squash ",800520
"geo groovi green cryptogon pump heat geotherm ","peakoil govern conspiraci polit blog ",704310
"record eagl ","music ",400000
"llc synthet intern turf ","turf ",805301
"dexter atlanti duti link download net/ net break transform stardust kingdom stargat site smallvil hero rush resid park game hour torrent southpark prison hot south evil ","episod stream cartoon park seri download fun torrent southpark free televis bittorr comedi funni south humor import media video ",400000
"","music ",400000
"nail directori onlin magazin com/ industri ","nail magazin ",621000
"directori page organ garden ","organ ",403010
"site sfgate letter art theatr theater org close stanford inform creativ homepag map backstag repertori institut scienc berkelei rep ","cultur theatr theater bayarea berkelei ",400000
"site shop gaiam green link lazi hous lime org superstor dog public ","shop organ green environ health design ",800520
"directori pyramid busi poster ","poster ",800520
"music zine starvox magazin net ","music ",400000
"genco veloc distribut main ","auction electron surplu ",805301
"site root allmedexchang societi map endocrin ","medic ",621000
"lifetim pleas mother brand click ","shop gift ",800520
"free host directori php busi ssl asp cheap mysql ","host import ",906014
"music resourc releas metal chuck radio hardradio rock heavi com/ hard ","music stream audio metal onlin radio rock video ",400000
"henri john mike mcgradi derrick allen deal clipper brandon anti letter jordan return traci hoop paint jaz rumor jax paul nba insid spam insidehoop trapp ","academ univers nba sport basketbal import hoop daili colleg blog rumor ",600020
"guid sunless amaz truli tan ","shop sunless refer tan sun ",621000
"music forum podcast directori forsid onlin intut access forsiden voic therapi close journal univers melbourn intern norwai ","music therapi ",621000
"expert profit invent patent com/ ","invent patent ",704310
"magazin com/ ","magazin ",400000
"architect lawrenc ","architect ",805301
"softwar site cimawar data visit excel access damag homepag releas page offic file repair corpor com/ recoveri ","softwar tool excel recoveri microsoft ",906014
"site film festiv syracus link intern visit com/ video ","film festiv syracus movi ",400000
"onlin american click handgunn public ","firearm magazin gun ",1051780
"skateboarddirectori girl factori compani chocol com/ previou frontpag skateboard ","skate brand skateboard ",805301
"ekg charlottesvil convent grill edg common link emu lead click iii albemarl apparatu life creek resort kidd bureau site ski check form green toni list knox vault photo visitor product inform project program stonei box saver bar ","snowboard ski virginia resort travel fun ",600020
"clark monster directori podcast link net darklink product archiv squad page shadow dark york com/ citi internet ","music cool forum cultur gothic audio directori link art entertain fun blog altern archiv search refer goth book dark commun comput horror design ",704310
"preciou blood ","music ",400000
"product gear manag dive ocean omsdiv usa tech ","scuba dive ",805301
"site press church directori ron org scientolog hubbard resourc newspap offic blogigo intern biographi todai ","scientolog ",704310
"directori page featur list game com/ dog main ","anim game fun dog ",513000
"forward int ship freight intern ","ship freight ",805301
"courtesi music standard jazzstandard jazz summer institut classic ","music histori standard refer jazz guitar ",400000
"site cup hors park hollywood visit race hollywoodpark hol mile gold com/ squidootrad racetrack ","hors race ",600020
"england gear bailei outdoor uk/ oswald ","shop camp cloth outdoor travel ",800520
"locat renaiss villag click visit enter fun fair visitor thi main scarborough festiv carolina outsid texa feed com/ ","sca renaiss festiv texa event travel ",1051780
"homepag visit net ","car mustang forum ",1051780
"limit devot silver librari carnegi variou children org kid free rais pittsburgh page ribbon special preemi ourkid campaign org/ ","autism ",403010
"scott homepag pixel addict contest visit photoshop spot ","graphic art contest competit adob photo digit tutori galleri commun inspir import design illustr photoshop photographi ",400000
"site mozilla shell rememb link nigeria sidebar activ sarowiwa project ken com/ ","shell histori african furtherlink social nigeria polit oil ",400000
"intut net boat design ","softwar tutori boatbuild forum architectur yacht sail construct dii boat design ",1051780
"product free crib organ etapestri tool download donat ","ecommerc onlin manag fundrais tool crm import develop nonprofit technolog donat databas ",704310
"global ","softwar shop export trade directori global tech korean market marketplac busi import internet korea supplier china ",805301
"orang link intern ","yoga spa ",704310
"site campi definit nice click visit onli view ","bike compon refer bicycl cycl ",805301
"philip ","art ",800520
"nonviol center ca/ centr directori canadian teach peac htm ","educ activ peac ",704310
"anim associ therapist intern massag ","associ ",621000
"forum respons breeder befor bui puppi research network nopuppymil ","animalright anim dog ",704310
"journal onlin raquo journei ","person cours blog howto tip journal creativ free diari lifehack hobbi inspir ",400000
"mundo homepag mtb mag uk/ magazin dirt melhor ","mountain bike downhil mtb cycl magazin dirt ",600020
"shop kite catch ","toi kite ",800520
"healthi diabet network center dedic dine healthcar magazin com/ gourmet org/ live ","inform cook diet refer food nutrit diabet import recip magazin health research ",403010
"leonard shoe ","shoe ",800520
"phone ron cell track fil smith earli sam davison jim allen paul jeffrei joel jon ","project track map cellphon research ",805301
"forum program discuss talk ","forum refer program php commun develop code script ",906014
"site balanc understand scorecard meter collabor organ strategi doe capac initi com/ squidootrad ","balanc scorecard manag tool link perform market collabor refer strategi consult ",805301
"resal drive citystar rodeo com/ squidootrad ","shop fashion cloth consign design ",800520
"cabl pacificc com/ custom pacif ","shop vendor cabl electron comput hardwar hometheat dii tech network ",906014
"motor freight line com/ saia ","",805301
"harold gener art intut object kurzweil cyber technolog rai simul cohen poet hier poetri aaron com/ cybernet ","softwar graphic gener art paint download copyright kurzweil algorithm comput aaron educ cybernet screensav scienc design ",400000
"john org mari foundat trackback pingback jan markl org/ ","healthcar philanthropi fund nonprofit technolog ",704310
"car cover kingdom ","cover ",800520
"ca/ canada ultim birmingham frisbe ottawa ontario disc associ carleton ","ultim sport ottawa ",600020
"christian frank formerli reorgan juli org headquart usa jesu homepag huff rld greenwood page nathan offici site church jonathan green smith dai ben kaimi saint margaret adam christ intern hobbi commun coc mcintyr org/ ","church ",704310
"puget leagu sound basebal senior ","basebal ",600020
"unrat doom ","game doom ",513000
"elearn client directori reason manag learn enter overdu access center search term dont care train introduct lemieux com/ syberwork ","softwar elearn learn ",906014
"softwar process data resort ","softwar ",805301
"fellowship com/ ","virtual host isp access linux sysadmin uml dedic busi comput hardwar server cheap debian ",906014
"studio page imag main ","photographi ",805301
