@relation docs

@attribute top_tag string
@attribute class string


@data
"chariti cancer",37211180
"new ohio tv cincinnati",240610130
"car forum porsch",33517812
"landscap sprinkler irrig import hous blog garden",602253101
"fish",27517812
"airlin travel hawaii",36613423
"krakow travel hotel poland",22613410
"uk univers sheffield safariexport sourc uni educ",45141161712
"india",25032130
"grandcanyon",36613423
"new local",36613423
"truck race",41953121
"music band",2800806
"grenada",2661340
"car person landcruis toyota x",33517812
"music band",2800806
"florenc hotel itali",24816610
"horror",1809860
"rv",41953121
"rochest",26021608
"propheci new christiannew christian bibl magazin info",461743127
"doc colorado",2794310
"histori mob crime chicago",2794310
"promot",46105301
"nyc",36613423
"scotland",30613410
"stag",30613410
"energi sustain northwest",26043111
"search thingamajob servic jobsearch jobboard career job import careerjobsearch resum hire employ",36613423
"empleo trabajo ett job spain",21961610
"eq",29137100
"uk new newspap media",30613410
"shop store book publish ebook",271505210
"zakupi",2311141610
"breweri beer",36613423
"satellit",4438155213
"kiln potteri",581753211
"music fleckton tutori lesson bassguitar bass jazz masica musician guitar artist",17015806
"iscsi raid na sata tool hardwar storag linux",26116014
"financ union creditunion credit cu",44125301
"realest australia properti",26613418
"shop fish",2814105221
"seattl",36613423
"health",2004310
"busi",21801110
"litteratur ebook",18801110
"music",28061290
"religion jehova bibl jw christianityb jehovahswit jehovah import misc",461743127
"jeep",41953121
"nr host tool blog url dominio resourc co free forward subdomain domain freedomain redirect html import dn internet design",453061014
"fly fear",2951780
"food nutrit health",18801110
"blog",2004310
"music prayer christian faith onlin tool book cathol blog theologi internet",461743127
"peopl new futur social philosophi ming blog technolog tech scienc",29061014
"london reconstruct ebrd econom job europ bank polit develop research",44125301
"shop costum bellyd",23022520
"educ",45141161712
"harri harrylatino potter harrypott",1896010
"restaur",36613423
"travel",36613423
"muzeum histori",2311141610
"religion quran koran islam refer download freewar hadith",391743127
"music teganandsara",2800806
"tool dii",581753211
"lingeri",338181110
"music",2800806
"turf",602253101
"music",2800806
"new valencia",21961610
"cultur theatr theater bayarea berkelei",28061290
"shop organ green environ health design",301410520
"analyt canada advertis network market associ email organ search event busi commun seo internet",2961340
